participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516122058868895_8057,images,1,50,new,i,1,1.1232051849365234
20250516122058868895_8057,images,2,53,new,i,1,0.6225788593292236
20250516122058868895_8057,images,3,54,new,u,0,0.3898138999938965
20250516122058868895_8057,images,4,60,new,i,1,0.11695718765258789
20250516122058868895_8057,images,5,47,old,u,1,0.030974864959716797
20250516122058868895_8057,images,6,55,old,i,0,0.03102421760559082
20250516122058868895_8057,images,7,57,old,u,1,0.3181140422821045
20250516122058868895_8057,images,8,58,old,i,0,0.08737897872924805
20250516122058868895_8057,images,9,49,new,u,0,0.28903889656066895
20250516122058868895_8057,images,10,48,old,i,0,0.28414392471313477
